Organization Name,Address,Street,City,State,Zip,X,Y,Description of Services Provided in Englewood,Family Stability,Foster care,Adoption services,Family support,Safe Place to Live,Provision of Food/clothing,Education,High School/GED Completion,Tutoring/homework help,Parenting classes/workshops,Leadership/character development programs (through mentoring),Service learning,College/career prep,Academic counseling,Enrichment field trips,Early childhood,Home visiting,Behavioral/self-management programs/workshops,Student clubs or curriculum enhancement (not tutoring),Arts/language programs,Health,"Preventive health visits (includes prenatal, dental/vision)",Vaccinations,Cessation programs,Nutrition & Wellness programs/counseling,Management of chronic conditions,Mental health counseling (general),Family & child counseling,Sexual assault counseling,Domestic violence support/counseling,Anger management counseling,Physical activity/sports,Family planning,HIV/AIDS programs,Substance abuse/addiction treatment,Public Safety,Engage youth to prevent gang participation,Workshops focused on violence prevention,Economic,Job training,youth employment (internships),Job placement (long-term),Dance,Media Arts,Music,OtherDiscipline,Theater,Visual Arts,DIscNA,Field Trips,In School Performance,Other Services,After School Programs,Professional development,Residency,Resources,Writing/poetry,Arts & crafts
Montessori Englewood,"6936 S Hermitage Ave, Chicago, Illinois, 60636",6936 S Hermitage Ave,Chicago,Illinois,60636,-87.667567,41.767798,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
McKay ES,"6938 S Washtenaw Ave, Chicago, Illinois, 60629",6938 S Washtenaw Ave,Chicago,Illinois,60629,-87.690685,41.767485,Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Children's Museum,"700 E Grand Ave, Chicago, Illinois, 60611",700 E Grand Ave,Chicago,Illinois,60611,-87.609202,41.892098,"Works through schools to provide music, visual arts, in school performance, field trips, after school programs, professional development, and other services and resources.",,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,0,1,1,0,0,1,1,1,,
The Preschool Center of CCCS-Englewood,"7000 S Parnell Ave, Chicago, Illinois, 60621",7000 S Parnell Ave,Chicago,Illinois,60621,-87.638419,41.76684,Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D&H Literacy Center,"7033 S Honore St, Chicago, Illinois, 60636",7033 S Honore St,Chicago,Illinois,60636,-87.669891,41.766038,"Programs include after school tutoring for grades 1-7, parenting classes, anger management, and counseling on domestic abuse.",,,,,,,1,,1,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beteur 1 Child Care,"7045 S Halsted St, Chicago, Illinois, 60621",7045 S Halsted St,Chicago,Illinois,60621,-87.644395,41.765669,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bond,"7050 S May St, Chicago, Illinois, 60621",7050 S May St,Chicago,Illinois,60621,-87.652934,41.765448,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,,,1,,,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Child Dev Lab Center @ Kennedy King College,"710 W 65th St, Chicago, Illinois, 60621",710 W 65th St,Chicago,Illinois,60621,-87.642889,41.776165,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yana House,"7120 S Normal Blvd, Chicago, Illinois, 60621",7120 S Normal Blvd,Chicago,Illinois,60621,-87.637128,41.76465,Drug treatment program,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camelot - Excel Englewood,"7141 S Morgan St, Chicago, Illinois, 60621",7141 S Morgan St,Chicago,Illinois,60621,-87.649189,41.764293,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Hands Child Creative Center,"7146 S Ashland Ave, Chicago, Illinois, 60636",7146 S Ashland Ave,Chicago,Illinois,60636,-87.663789,41.763519,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTALLY POSITIVE PRODUCTIONS,"7157 S Princeton Ave, Chicago, Illinois, 60621",7157 S Princeton Ave,Chicago,Illinois,60621,-87.632125,41.763722,Provides service learning and youth employment with the goal of engaging youth to prevent violence/gang involvement,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,
Lez Enfants Academy Inc,"7209 S Halsted St, Chicago, Illinois, 60621",7209 S Halsted St,Chicago,Illinois,60621,-87.644315,41.763061,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sisters Inc Leadership Program,"7218 S Honore St, Chicago, Illinois, 60636",7218 S Honore St,Chicago,Illinois,60636,-87.669858,41.762431,"Provides mentorship and guidance through academic counseling, college and career preparation, character development, and community service",,,,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imagine Englewood If NFP,"730 W 69th St, Chicago, Illinois, 60621",730 W 69th St,Chicago,Illinois,60621,-87.642633,41.768882,"Programs include lead poisoning prevention, healthy eating, violence prevention, tutoring and mentorship, field trips, community garden, and arts and crafts",1,,,,1,,1,,1,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1
Randolph,"7316 S Hoyne Ave, Chicago, Illinois, 60636",7316 S Hoyne Ave,Chicago,Illinois,60636,-87.675899,41.76083,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,1,,,,,,1,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Children of Tomorrow Learning Ctr Inc.,"7322 S Damen Ave, Chicago, Illinois, 60636",7322 S Damen Ave,Chicago,Illinois,60636,-87.673469,41.76042,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southside HS,"7342 S Hoyne Ave, Chicago, Illinois, 60636",7342 S Hoyne Ave,Chicago,Illinois,60636,-87.675877,41.759973,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Kiddie Kingdom II,"7400 S Green St, Chicago, Illinois, 60621",7400 S Green St,Chicago,Illinois,60621,-87.645498,41.75959,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stagg,"7424 S Morgan St, Chicago, Illinois, 60621",7424 S Morgan St,Chicago,Illinois,60621,-87.649136,41.759314,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Are Us Learning Center,"7453 S Vincennes Ave, Chicago, Illinois, 60621",7453 S Vincennes Ave,Chicago,Illinois,60621,-87.63115,41.758557,Early childhood program including Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurgood Marshall Library,"7506 S Racine Ave, Chicago, Illinois, 60620",7506 S Racine Ave,Chicago,Illinois,60620,-87.653941,41.757415,"Provides homework help, computer literacy support and YOUmedia.",,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard ES,"7525 S Harvard Ave, Chicago, Illinois, 60620",7525 S Harvard Ave,Chicago,Illinois,60620,-87.632819,41.757617,Head Start,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silk Road Rising,"77 W Washington St, Chicago, Illinois, 60602",77 W Washington St,Chicago,Illinois,60602,-87.630612,41.883223,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,0,0,1,1,1,,
Chicago Children's Choir,"78 E Washington St, Chicago, Illinois, 60602",78 E Washington St,Chicago,Illinois,60602,-87.625137,41.883296,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,1,1,1,1,1,1,,
Greater Auburn Gresham Development Corporation,"7901 S Racine Ave, Chicago, Illinois, 60620",7901 S Racine Ave,Chicago,Illinois,60620,-87.653691,41.750391,"Programs include community economic development, housing and senior services, real estate development, and educational initiatives.",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Chicago Shakespeare Theater,"800 E Grand Ave, Chicago, Illinois, 60611",800 E Grand Ave,Chicago,Illinois,60611,-87.608667,41.892106,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,1,0,1,1,0,0,,
YMCA,"801 N Dearborn St, Chicago, Illinois, 60610",801 N Dearborn St,Chicago,Illinois,60610,-87.629725,41.896761,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,1,0,1,1,1,1,,
My Block My Hood My City,"8035 S Wabash Ave, Chicago, Illinois, 60619",8035 S Wabash Ave,Chicago,Illinois,60619,-87.622884,41.748082,"Provides underprivileged youths with an awareness of the world and opportunities beyond their neighborhood through one day field trips through the different areas of the City of Chicago. Every month they take a group of interested teenagers on a City wide exploration, visiting hidden gem businesses, artful intersections, and exposing them to more of Chicago, not just a few blocks. ",,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&S Development Group NFP,"8140 S Kedzie Ave, Chicago, Illinois, 60652",8140 S Kedzie Ave,Chicago,Illinois,60652,-87.702289,41.744929,"Provides free group workshops and one-on-one counseling sessions that encompass financial literacy (budgeting, savings program, credit management), homebuyer education, mortgage delinquency, utility assistance, rental assistance, job readiness, and homeowners’ & renters’ rights.",1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Teamwork Englewood,"815 W 63rd St, Chicago, Illinois, 60621",815 W 63rd St,Chicago,Illinois,60621,-87.645532,41.779753,"Programs include an African American male initiative (ages 10-18), golden nugget girls leadership program (ages 7-19 ), hoops in the hood (all ages), and sea scouts scholarships for sailing (ages 14-20)",,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Kiddie Kingdom,"815 W 74th St, Chicago, Illinois, 60621",815 W 74th St,Chicago,Illinois,60621,-87.644819,41.759704,Early childhood program,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communities in Schools of Chicago,"815 W Van Buren St, Chicago, Illinois, 60607",815 W Van Buren St,Chicago,Illinois,60607,-87.648041,41.876624,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,
By the Hand/Kids Club,"8301 S Damen Ave, Chicago, Illinois, 60620",8301 S Damen Ave,Chicago,Illinois,60620,-87.672895,41.741831,"After school program seeking to provide a safe and positive place for Englewood high school students grades 9th-12th. Services include academic help, dental/vision check ups, fun enrichments and positive mentorship. We also provide Scholarship opportunity, college prep and community service opportunities.",,,,,,,1,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By the Hand Club for Big Kids,"8302 S Damen Ave, Chicago, Illinois, 60620",8302 S Damen Ave,Chicago,Illinois,60620,-87.672978,41.742749,Work with high school kids to help prepare for college years and to help them realize their full potential as adults who walk closely with the Lord. ,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Central Community Services,"8316 S Ellis Ave, Chicago, Illinois, 60619",8316 S Ellis Ave,Chicago,Illinois,60619,-87.600199,41.74339,"The programs and services include: Target Literacy Reading Program; Day Treatment Elementary School; Day Treatment High School; Outpatient Mental Health Programs for Children and Adults; Biddy Basketball League; Brag Club for Seniors; Senior Recreation Services; BeBe P.H.A.T (Positive, Hip and Trim); and ‘Out of School Time’ Sports & Recreation; Summer Enrichment Camp and Massage Services. ",,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwen,"833 N Orleans St, Chicago, Illinois, 60610",833 N Orleans St,Chicago,Illinois,60610,-87.637155,41.897953,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1,1,0,0,1,,
Magic Johnson - Englewood HS,"845 W 69th St, Chicago, Illinois, 60621",845 W 69th St,Chicago,Illinois,60621,-87.646271,41.768763,Offers out of school time programs (see program type details for specific detail). ,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvation Army Family & Community Services,"845 W 69th St, Chicago, Illinois, 60621",845 W 69th St,Chicago,Illinois,60621,-87.646271,41.768763,"Provides counseling to youth in danger of academic failure or when a threat of harm to self or others exists, and helps at-risk youth in Englewood and West Englewood learn appropriate strategies to cope with situations they face at home and at school through individual and group counseling.",,,,,,,1,,,,,,,1,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reva and David Logan Center for the Arts,"915 E 60th St, Chicago, Illinois, 60637",915 E 60th St,Chicago,Illinois,60637,-87.603817,41.785854,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,1,1,1,1,1,0,1,,
The People's Music School,"931 W Eastwood Ave, Chicago, Illinois, 60640",931 W Eastwood Ave,Chicago,Illinois,60640,-87.653742,41.966363,Provides free character-building mentorship through intensive music education,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
CPS SOAR Center,"945 W 69th St, Chicago, Illinois, 60621",945 W 69th St,Chicago,Illinois,60621,-87.649051,41.768733,A cross-agency collaborative focused on the re-engagement of chronically truant and out of school youth. ,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Salvation Army Adele and Robert Stern Red Shield Center,"945 W 69th St, Chicago, Illinois, 60621",945 W 69th St,Chicago,Illinois,60621,-87.649051,41.768733,"Provides sports programs, recreational programs, teen corner (safe place for teens to socialize), character building programs (learn to address physical, mental, spiritual and social needs), music programs (orchestra/band) and language classes",,,,,,,1,,,,1,,,,,1,,,,1,1,,,,,,,,,,,1,,,,1,1,,,,,,0,0,0,0,0,0,1,0,0,1,1,0,1,1,,
Umoja Student Development Corporation,"954 W Washington Blvd, Chicago, Illinois, 60607",954 W Washington Blvd,Chicago,Illinois,60607,-87.651284,41.883088,Work through schools to provide a peace room and other restorative justice approaches.,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holmes,"955 W Garfield Blvd, Chicago, Illinois, 60621",955 W Garfield Blvd,Chicago,Illinois,60621,-87.64924,41.793874,Offers out of school time programs (see program type details for specific detail). Also offers Head Start/Early Head Start.,,,,,,,1,,1,,1,,,,,1,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Better Sister Growth Network,"60636, Chicago, Illinois",,Chicago,Illinois,60636,-87.661598,41.774835,Provide workshops on job training and domestic violence,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Lakeside Singers,"1103 Cleveland St, Evanston, Illinois, 60202",1103 Cleveland St,Chicago,Illinois,60202,-87.687112,42.029949,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,1,1,1,0,1,,
Beautiful Zion Baptist Church Food Pantry,"1406 W 64th St, Chicago, Illinois, 60636",1406 W 64th St,Chicago,Illinois,60636,-87.659651,41.777737,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We Do Care Food Pantry ,"1538 W 69th St, Chicago, Illinois, 60636",1538 W 69th St,Chicago,Illinois,60636,-87.663032,41.768568,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingdom Builders Christian Center Food Pantry,"1648 W 63rd St, Chicago, Illinois, 60636",1648 W 63rd St,Chicago,Illinois,60636,-87.666153,41.779458,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Shack Food Blessing Food Pantry,"1818 W 74th St, Chicago, Illinois, 60636",1818 W 74th St,Chicago,Illinois,60636,-87.669402,41.759428,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mt. Calvary Baptist Church Food Pantry,"1850 W Marquette Rd, Chicago, Illinois, 60636",1850 W Marquette Rd,Chicago,Illinois,60636,-87.670479,41.772146,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operation Blessing Evening Food Pantry,"2050 W 59th St, Chicago, Illinois, 60636",2050 W 59th St,Chicago,Illinois,60636,-87.675496,41.786637,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abundant Life MBC Food Pantry,"2306 W 69th St, Chicago, Illinois, 60636",2306 W 69th St,Chicago,Illinois,60636,-87.681129,41.768374,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pickens Memorial Temple COGIC Food Pantry,"5659 S Union Ave, Chicago, Illinois, 60621",5659 S Union Ave,Chicago,Illinois,60621,-87.642575,41.790912,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Believe in Thine Heart Food Pantry,"6000 S Ashland Ave, Chicago, Illinois, 60636",6000 S Ashland Ave,Chicago,Illinois,60636,-87.664388,41.784819,Food pantry,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater St. John AME Church Food Pantry,"6201 S Throop St, Chicago, Illinois, 60636",6201 S Throop St,Chicago,Illinois,60636,-87.657051,41.781362,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive Branch,"6310 S Claremont Ave, Chicago, Illinois, 60636",6310 S Claremont Ave,Chicago,Illinois,60636,-87.682338,41.7789,Food pantry and shelter,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Olive Baptist Church Food Pantry,"6354 S Marshfield Ave, Chicago, Illinois, 60636",6354 S Marshfield Ave,Chicago,Illinois,60636,-87.665492,41.778289,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englewood UMC Food Pantry,"60621, Chicago, Illinois",,Chicago,Illinois,60621,-87.638722,41.773912,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaan MBD Food Ministry Food Pantry,"6659 S Harvard Ave, Chicago, Illinois, 60621",6659 S Harvard Ave,Chicago,Illinois,60621,-87.633215,41.772941,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Evangelical Ministries,"7048 S Western Ave, Chicago, Illinois, 60636",7048 S Western Ave,Chicago,Illinois,60636,-87.683288,41.765049,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Willing Workers of Christ Food Pantry,"716 W 69th St, Chicago, Illinois, 60621",716 W 69th St,Chicago,Illinois,60621,-87.641929,41.768901,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to God Church Food Pantry,"7326 S Racine Ave, Chicago, Illinois, 60636",7326 S Racine Ave,Chicago,Illinois,60636,-87.654018,41.760648,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation Parish Food Pantry,"843 W Garfield Blvd, Chicago, Illinois, 60621",843 W Garfield Blvd,Chicago,Illinois,60621,-87.646665,41.793896,Food pantry  ,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois Holocaust Museum and Education Center,"9603 Woods Dr, Skokie, Illinois, 60077",9603 Woods Dr,Skokie,Illinois,60077,-87.762751,42.055686,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,0,0,1,1,0,1,,
Between Friends,,,,,,,,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,1,1,,
CodeCreate,,,,,,,,Works through schools to provide arts programming (see detailed list under program types for specific programs).,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,0,1,1,1,1,1,,
